density	pressure [atm]	error [atm]
0.0016	488.7552707777778	185.95767638269987
0.0032	753.5790451108434	473.11906041560223
0.0048000000000000004	1057.806588590991	746.0283086990432
0.0064	1624.5903932211293	939.0098300820429
0.008	2360.8248142148996	1246.0398300206048
0.009600000000000001	3273.784127287289	1521.4294588216492
0.011200000000000002	4743.11969299711	1869.9856543775143
0.0128	6279.47634277872	2108.6981476341716
0.014400000000000001	8499.005521428571	2559.896170306368
0.016	11518.396365483686	2818.8759611447513
0.0176	15240.595366360294	3248.3806642292243
0.019200000000000002	19732.16325011979	3588.46421547828
0.020800000000000003	25195.34335703704	4111.227259771856
0.022400000000000003	32348.550795151514	4483.856742465415
0.024	40828.912467571645	5028.7482307800565
0.0256	51147.30412759041	5580.736484226268
0.027200000000000002	63780.16919242423	6080.749753091949
0.028800000000000003	78083.62306062819	6664.149323388437
0.030400000000000003	95475.31893513513	7346.457714239746
0.032	117218.85681911014	8123.196098575675
0.0336	141869.3800273598	9052.035910532664
0.0352	171593.19021212123	9785.870091241493
