density	pressure [atm]	error [atm]
0.0002	41.873639564356424	14.41241429246168
0.0004	70.75250127375001	28.09900169206209
0.0006000000000000001	94.06956438928572	43.10891592661581
0.0008	108.42222078233534	54.819227084459925
0.001	127.407406014539	71.34814586060757
0.0012000000000000001	157.54022636975353	85.52704561899186
0.0014000000000000002	170.36080585903233	99.86276568118029
0.0016	175.5929725364968	117.51994880064429
0.0018000000000000002	194.84221489818742	127.75770950121753
0.002	219.51556718076168	143.62726248249027
0.0022	229.55268576431718	156.05769311988013
0.0024000000000000002	247.27590920722105	179.79301806720414
0.0026000000000000003	269.9354104738248	192.83164481912786
0.0028000000000000004	286.406689644287	196.7557999131286
0.003	290.5956562268725	218.36739271271284
0.0032	314.08111616524644	234.23190535492049
0.0034000000000000002	325.2601629396916	247.13257373603915
0.0036000000000000003	356.5944009551024	262.49637193865516
0.0038000000000000004	386.48265330936727	281.4175148340235
0.004	396.9841604194832	296.2238990296829
0.0042	423.8700279333932	322.78906288685675
0.0044	447.3665042176423	326.55605327782575
0.0046	463.0554419460535	348.9161484495817
0.0048	456.21966822164325	359.98957280898765
0.005	518.1526842726931	373.52378239878675
0.0052	526.4555537015785	414.37977713716754
0.0054	585.7448949341286	393.4232221750797
0.0056	598.7954265581332	416.7475748216294
0.0058	634.7210541233668	452.71484340792387
0.006	663.0622524633642	461.3936451198254
0.0062	679.163269377682	467.9339989553303
0.0064	727.9170893735055	491.24739204378227
0.0066	780.2737737154565	496.2255413638866
0.0068	820.1853482721003	523.0554859955785
0.007	871.858844110307	541.4275928479843
0.0072	892.9938531836314	575.8301278309599
0.0074	924.0203839795419	570.4475106965521
0.0076	798.1240911481482	535.8434573514561
0.0078	1050.8385452448	608.1425174478085
0.008	1079.6190555247877	639.4055900445718
0.0082	1136.6736557411205	627.3549962935881
0.008400000000000001	1203.864766889679	663.2594572829199
0.008600000000000002	1229.680310153851	672.3261087307292
0.0088	1328.7203394271623	707.7062406165977
0.009000000000000001	1379.071406239394	717.8287427264216
0.009200000000000002	1425.4462139716322	727.9798879859961
0.0094	1525.3578856228291	778.7307778021076
0.009600000000000001	1588.1898399340603	785.0733787689989
0.009800000000000001	1662.1585867799954	791.6275493404452
0.01	1719.9985078557595	804.3158943632534
0.0102	1824.5815082535453	828.8429585836228
0.010400000000000001	1901.0568305582303	838.4067971396822
0.010600000000000002	1972.7586701817834	861.6030375170548
0.0108	2066.2405111450316	898.3635151300111
0.011000000000000001	2165.37188820342	913.4269180859003
0.011200000000000002	2238.1695922651816	918.9150910015212
0.0114	2356.4168424699833	918.7193168375055
0.011600000000000001	2453.729644167322	967.4215339053638
0.011800000000000001	2598.2884777629633	987.7588432727518
0.012	2704.3515692039045	1016.0295677986619
0.0122	2833.5099246107093	1038.7643802553941
0.012400000000000001	2966.25398540459	1053.1753382867314
0.012600000000000002	3046.190490915767	1048.5750448383121
0.0128	3201.0624099441156	1090.5059692797217
0.013000000000000001	3321.667219494477	1086.9853459239603
0.013200000000000002	3461.941338596468	1133.989572912879
0.0134	3594.696415407227	1166.0390864244412
0.013600000000000001	3779.545969089476	1156.2331714040513
0.013800000000000002	3882.9934558864375	1180.643908570749
0.014000000000000002	4072.432459550737	1222.528322511785
0.0142	4239.570363208316	1238.9935292227733
0.014400000000000001	4363.206906566385	1241.1083526653458
0.014600000000000002	4563.2291251701245	1274.5677121737615
0.0148	4772.851667154778	1296.3612296521962
0.015000000000000001	4962.908206979674	1317.7798660482122
0.015200000000000002	5123.321753049529	1362.9432354424905
0.0154	5317.682480496073	1375.5999857945462
0.015600000000000001	5556.336110336441	1393.7636106526609
0.0158	5787.814639772266	1394.907174388277
0.016	6019.670580426755	1446.0868639012572
0.0162	6257.956767756436	1481.8227761628525
0.016399999999999998	6410.919872367347	1466.2401500511107
0.0166	6648.633658179582	1522.9988180667447
0.0168	6921.344677874637	1524.691424066712
0.017	7099.610473073772	1576.8047453838021
0.0172	7378.888944851445	1596.6395459019946
0.0174	7722.336595982144	1592.3900699981941
0.0176	7922.391264870423	1624.958298964794
0.0178	8162.164220426829	1627.4067438625832
0.018	8509.587735079818	1721.9705478614435
0.0182	8829.578081688998	1689.877006676094
0.0184	9153.144972646465	1739.210507634349
0.0186	9404.181467202972	1729.0837300744752
0.0188	9763.955873060086	1752.613050197877
0.019	10062.904658973323	1833.5067143527153
0.0192	10424.430622664499	1809.8873683885508
0.0194	10739.502284515316	1820.4552919921641
0.0196	11116.418850688819	1895.4147493263977
0.019799999999999998	11455.4836673325	1909.9562689065415
0.02	11850.379238632686	1919.9978598341675
0.0202	12228.783682761506	2003.9020233620324
0.0204	12631.981908159081	1995.530408234207
0.0206	13045.148176980818	2025.0857950461816
0.0208	13504.706471096346	2093.6980612148623
0.021	13870.35297171134	2101.6009359079144
0.0212	14365.21104633347	2156.3222903820856
0.0214	14814.41431976122	2195.528097894033
0.0216	15327.260888933442	2197.0244708783443
0.0218	15739.943791721058	2202.479326726731
0.022	16152.791375204264	2224.127144077675
0.0222	16674.32339822114	2288.8408371123514
0.0224	17161.4781044863	2304.0278551646347
0.0226	17643.71513651926	2349.7271521909893
0.0228	18193.55912122501	2323.6259897476484
0.023	18691.673975374375	2368.1938868154825
0.0232	19251.170376400787	2419.863140293962
0.0234	19882.449718300653	2411.1507860750853
0.0236	20481.20076585205	2469.303716715564
0.023799999999999998	21082.409657628225	2486.374440498171
0.024	21634.855064538046	2544.6877007301023
0.0242	22290.29008150366	2643.0450234066398
0.0244	22876.013133264463	2548.7719967973717
0.0246	23613.868715496777	2593.5186990381167
0.0248	24219.695109780438	2622.5998271444764
0.025	24972.34637951186	2690.0444921537596
0.0252	25643.81157641921	2750.163756880946
0.0254	26347.24394085656	2758.5398444065527
0.0256	27083.7479860781	2812.79852959664
0.0258	27832.25974734316	2881.9142411641837
0.026	28565.67900275577	2854.615462326196
0.0262	29394.43457435559	2902.043250905461
0.0264	30234.79279333113	2976.956268484412
0.0266	30909.541410683905	2960.955383445822
0.0268	31862.752641076768	3052.6712715263725
0.027	32727.231104880582	3063.9999335800267
0.0272	33617.426464451826	3122.109516760371
0.0274	34518.34122956403	3130.558472891068
0.0276	35403.926108117215	3171.293427424232
0.027800000000000002	36276.392533310674	3255.0303920143647
0.028	37248.68082311558	3214.8925751082647
0.0282	38126.59568707713	3303.907924524558
0.0284	39165.47398491084	3289.4716995746803
0.0286	40216.19457429719	3381.817629435012
0.0288	41225.305785591176	3392.4645307675487
0.029	42352.229291866024	3492.5580958317137
0.0292	43273.53795493992	3454.6068830036666
0.0294	44407.81499868465	3467.07773713232
0.0296	45633.23223602485	3572.7407341582543
0.0298	46755.27584649421	3494.636005137491
0.03	47988.34107147651	3627.8215531334376
0.0302	49072.001061756935	3709.7627343938793
0.0304	50234.06848671979	3842.5212512498633
0.0306	51542.62656324582	3718.235603725398
0.0308	52819.267845046845	3814.0658118755287
0.031	54195.993158616184	3807.669952733746
0.031400000000000004	56872.13214437437	3942.7755133929372
