density	pressure [atm]	error [atm]
0.0032	1421.6796939277071	442.92428557296194
0.0064	2779.701140124327	965.261276222992
0.009600000000000001	4824.683707764023	1507.396773433515
0.0128	8037.379502309769	2150.71277387356
0.016	13261.56377749225	2840.6873227372453
0.019200000000000002	21492.222116948302	3590.2869018283113
0.022400000000000003	33960.83978962104	4520.138894663323
0.0256	52615.81678952105	5450.429651226825
0.028800000000000003	79705.33929967003	6620.791049204502
0.032	118793.19402509749	8094.4517814910205
0.0352	173457.26790420958	9713.352270507025
